state,year,EMP STATUS,ENTERPRISE,INDUSTRY,LFPR,WAGE CASUAL,WAGE REGULAR,WAGE SELF,WPR
Andaman & N. Island,2022_23,14.5,62.9,4.83,54.0,583.09,18441.94,28349.74,48.8
Andaman & N. Island,2023_24,14.3,59.4,4.12,53.3,679.47,41258.08,19103.81,47.0
Andaman & N. Island,2025,10.6,68.5,2.23,55.0,572.58,26020.66,27160.95,49.5
Andhra Pradesh,2022_23,31.3,72.8,2.65,48.6,486.08,19036.72,14817.78,46.6
Andhra Pradesh,2023_24,28.7,72.4,2.66,47.5,576.73,18667.42,17296.42,45.6
Andhra Pradesh,2025,29.8,71.5,2.27,48.6,487.19,18280.74,14344.24,46.5
Arunachal Pradesh,2022_23,4.9,48.7,0.45,49.8,523.56,28786.52,10474.94,47.4
Arunachal Pradesh,2023_24,4.3,56.2,0.38,54.4,502.57,27209.79,11199.45,51.1
Arunachal Pradesh,2025,7.1,55.2,0.93,53.0,328.69,28915.78,13827.07,49.5
Assam,2022_23,31.9,84.8,0.91,30.8,419.69,16301.82,10211.06,30.2
Assam,2023_24,19.7,76.4,1.92,49.1,421.09,16270.49,10172.46,47.2
Assam,2025,22.4,79.1,1.9,46.0,464.2,15846.01,10216.55,44.3
Bihar,2022_23,27.6,87.7,1.58,31.4,382.19,18309.97,10901.23,30.2
Bihar,2023_24,23.8,89.4,0.98,34.5,424.99,16299.16,12383.72,33.5
Bihar,2025,23.3,89.1,1.57,32.9,439.24,18358.61,12657.51,31.6
Chandigarh,2022_23,7.5,45.9,3.66,38.2,402.62,17238.7,18332.27,36.7
Chandigarh,2023_24,4.5,50.5,4.64,43.5,,,,40.4
Chandigarh,2025,6.7,53.0,5.7,44.3,,,,41.8
Chhattisgarh,2022_23,18.1,78.8,0.99,53.9,254.92,13529.67,7589.85,52.6
Chhattisgarh,2023_24,18.5,77.8,1.29,55.5,291.63,18798.83,9870.39,54.2
Chhattisgarh,2025,18.9,76.2,1.29,55.3,295.33,15130.65,11062.17,54.0
Dadra & Nagar Haveli & Daman & Diu,2022_23,3.8,31.4,3.06,48.7,302.86,16298.82,9309.77,47.5
Dadra & Nagar Haveli & Daman & Diu,2023_24,4.0,27.6,1.77,52.3,475.62,12794.34,5313.23,51.1
Dadra & Nagar Haveli & Daman & Diu,2025,4.1,32.9,4.57,51.9,452.71,17684.44,12362.99,51.1
Delhi,2022_23,5.8,65.9,3.5,35.7,600.0,15597.93,27962.48,35.0
Delhi,2023_24,6.1,66.9,3.73,36.0,600.0,16473.78,19849.72,35.2
Delhi,2025,6.2,58.4,4.77,34.9,636.09,29677.19,25804.84,32.8
Goa,2022_23,7.7,49.2,8.2,40.9,765.35,25424.78,24330.73,37.0
Goa,2023_24,9.1,54.0,11.0,39.9,842.53,23439.56,46290.69,36.5
Goa,2025,9.5,59.2,9.28,43.5,851.77,25289.88,28616.73,39.9
Gujarat,2022_23,16.5,67.7,1.49,48.1,331.01,12057.69,10347.94,47.2
Gujarat,2023_24,13.1,67.8,1.26,49.6,364.08,14816.18,11757.26,49.1
Gujarat,2025,13.1,69.6,1.61,50.6,367.84,17655.13,13692.17,50.1
Haryana,2022_23,17.5,59.2,1.49,36.3,474.73,15886.78,15173.12,34.1
Haryana,2023_24,14.4,59.5,2.52,37.4,469.03,18780.54,16668.13,36.1
Haryana,2025,16.6,61.2,1.91,38.5,536.0,19844.72,16025.48,36.8
Himachal Pradesh,2022_23,8.2,57.2,1.61,61.3,484.79,19015.7,8326.34,58.6
Himachal Pradesh,2023_24,11.2,58.7,1.29,60.5,476.15,19795.69,8728.8,57.2
Himachal Pradesh,2025,9.2,59.4,2.32,58.7,552.7,22913.83,10674.18,56.0
Jammu & Kashmir,2022_23,12.4,76.7,1.26,47.2,515.98,27688.35,10245.01,45.1
Jammu & Kashmir,2023_24,11.1,75.5,1.53,47.8,525.65,25785.64,13055.75,44.9
Jammu & Kashmir,2025,12.9,76.1,2.14,49.2,576.24,25248.56,9577.74,46.8
Jharkhand,2022_23,18.1,86.1,1.43,42.6,393.47,15126.04,9397.72,41.9
Jharkhand,2023_24,19.0,83.0,1.77,44.4,396.86,13171.85,8339.86,43.9
Jharkhand,2025,18.2,85.0,2.25,42.3,394.36,16960.08,10046.26,41.2
Karnataka,2022_23,24.4,63.1,2.4,45.0,396.11,16403.68,14948.3,43.9
Karnataka,2023_24,22.9,64.1,2.51,45.4,421.5,18738.66,19989.55,44.1
Karnataka,2025,23.4,64.2,2.99,47.7,470.7,18147.41,16351.63,46.6
Kerala,2022_23,27.4,72.8,2.95,44.3,801.28,20044.74,16649.94,41.2
Kerala,2023_24,23.9,71.7,4.02,45.4,807.0,18616.05,16744.04,42.1
Kerala,2025,22.3,67.9,4.43,46.2,915.44,21918.23,15996.8,44.2
Ladakh,2022_23,13.0,70.2,4.67,46.7,574.62,34580.3,9762.41,43.8
Ladakh,2023_24,8.8,67.4,3.64,50.5,747.03,44864.12,9910.85,47.9
Ladakh,2025,11.4,66.1,1.19,51.4,744.63,44320.64,13895.79,49.4
Lakshadweep,2022_23,26.1,55.9,3.04,30.5,768.82,59134.11,18604.53,27.1
Lakshadweep,2023_24,24.3,56.1,6.57,38.4,896.57,19713.42,15354.04,33.8
Lakshadweep,2025,18.1,67.1,6.88,36.9,941.27,35754.16,17043.98,34.4
Madhya Pradesh,2022_23,21.3,77.4,1.17,48.4,323.26,14869.74,10190.35,47.6
Madhya Pradesh,2023_24,18.6,80.8,1.55,51.0,352.9,17018.36,10833.13,50.6
Madhya Pradesh,2025,19.8,79.5,1.32,48.7,368.36,17207.94,13230.03,48.0
